punbienpsico,punsatvida,punbienespir,punbiensoc,nivsoled,rpsoptimis,rpsinterotros,rpsresolprob,rpssentbien,rpssentcercan,punrecpsic_category
0.6,0.75,0.6,0.7,0.3333333333,0.0,0.0,0.2,0.0,0.0,1
0.9,1.0,1.0,1.0,0.3333333333,1.0,0.2,0.2,0.2,0.8,1
0.3,0.25,0.3,0.3,1.0,0.4,0.8,0.4,0.8,0.8,0
0.6,0.6666666667,0.8,0.8,0.3333333333,0.2,1.0,0.2,0.2,0.2,1
0.7,0.8333333333,0.6,0.5,0.3333333333,0.2,0.8,0.0,0.0,0.2,1
0.2,0.4166666667,0.2,0.2,1.0,0.8,0.8,0.8,0.8,0.8,0
0.8,0.75,0.8,0.8,0.3333333333,1.0,1.0,0.0,0.0,0.0,1
0.5,0.8333333333,0.3,0.9,0.3333333333,0.0,1.0,1.0,0.2,1.0,1
0.4,0.75,0.4,0.4,0.3333333333,0.0,1.0,0.2,0.0,0.0,1
0.2,0.6666666667,0.5,0.3,0.3333333333,0.2,0.2,0.2,0.2,0.8,1
0.3,0.4166666667,0.2,0.3,1.0,0.4,0.8,0.2,0.8,0.8,0
0.6,0.8333333333,0.6,0.5,0.3333333333,1.0,0.2,0.2,0.2,1.0,1
0.2,0.5833333333,0.4,0.3,1.0,0.8,0.8,0.8,0.8,0.8,0
0.2,0.4166666667,0.3,0.3,1.0,0.2,0.0,0.2,0.4,0.8,1
0.8,0.8333333333,0.9,0.8,0.6666666667,0.0,0.2,0.0,0.0,0.2,1
0.7,0.6666666667,0.4,0.6,1.0,0.2,0.0,0.0,0.2,0.8,1
0.6,0.8333333333,0.5,0.8,0.3333333333,0.0,1.0,0.0,0.2,0.2,1
0.7,0.9166666667,0.4,0.4,1.0,1.0,0.0,0.2,0.2,0.2,1
0.5,0.8333333333,0.8,0.6,0.3333333333,0.2,0.8,0.0,0.2,0.2,1
0.4,0.5833333333,0.5,0.5,1.0,0.8,0.8,0.8,0.8,0.8,0
0.8,0.1666666667,0.8,0.8,0.3333333333,0.0,0.2,0.0,0.0,0.0,1
0.7,0.6666666667,0.1,0.5,0.3333333333,0.2,0.8,0.2,0.0,0.8,1
1.0,0.6666666667,1.0,1.0,0.6666666667,1.0,1.0,1.0,0.2,0.2,1
0.8,0.8333333333,0.7,1.0,0.6666666667,0.0,1.0,0.0,0.0,0.0,1
0.3,0.9166666667,0.2,0.8,0.3333333333,0.2,0.2,0.2,0.0,0.2,1
0.5,1.0,0.4,0.8,0.6666666667,0.0,0.0,0.0,0.0,0.0,1
0.8,0.8333333333,0.7,0.8,0.6666666667,1.0,1.0,1.0,1.0,0.0,1
0.4,0.3333333333,0.2,0.6,0.3333333333,0.8,0.2,0.8,0.8,0.4,0
0.9,1.0,0.9,0.7,0.6666666667,1.0,1.0,1.0,1.0,0.0,1
0.4,0.6666666667,0.6,0.6,0.3333333333,0.2,1.0,0.2,0.2,0.0,1
0.9,0.9166666667,0.8,0.9,0.3333333333,0.0,0.2,0.0,0.0,0.0,1
1.0,1.0,0.4,0.9,0.6666666667,1.0,1.0,1.0,1.0,1.0,1
0.3,0.6666666667,0.3,0.3,0.3333333333,1.0,1.0,0.0,0.2,0.2,1
0.6,0.75,0.7,0.7,0.3333333333,0.2,0.8,0.2,0.0,0.2,1
0.8,1.0,0.6,0.4,0.6666666667,0.0,0.8,0.0,1.0,0.0,1
0.6,0.8333333333,0.5,0.6,0.3333333333,0.0,0.0,0.2,0.2,0.2,1
